channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UC-Ux9bjrAtuMMvZbbtqK19w,4229,5793,32,0,27,2
UCk8rU9JZFxqMpAkOPP0Wu_g,3325,7198,4,1,25,1
UCQEIfqE3MnOyN9SCS8cHRWA,1353,2311,3,2,35,0
UCFzupDSjmyNF_8kjh8aO6ow,1253,1629,13,3,22,0
UCGY1ywgZ1FvUEVUc6zTZmkA,643,1441,4,1,9,1
UC2XjCWiLxI7UCc1PPaQHNTA,584,838,6,3,8,0
UClQeDT2awEJb7Hu2PLsPvzg,276,595,1,0,3,0
UC24QDGhcpEeKTtEDYSXflMg,0,0,499,0,0,0
UCBxIPQKReItXWeCqzLzkEGA,21315120,46213355,44256,4293,152640,5671
UC4ZFn6TUncwPA0UI819Q3JA,21082999,53942769,49603,6310,346300,5502
UCIVROfF-b3Wjpk-G1-_ulFw,17182561,50334696,33119,3923,143468,3220
UC6ZBO3cPNkToPCx5jaoFDzQ,4691210,12384532,8350,631,32163,1150
UC_fGK_FJk3vg8V5MVtFXmog,4075899,9735704,51,1754,67671,623
UCp6Rugkg2-yKf50HwtsXsUg,2186732,2760723,8159,447,13978,854
UCeuZSIikkhiagrFxPJcZ8Bw,1968413,3733127,11798,1069,25565,948
UC3GWgP_PHnsBgIOSsL-Pxqw,1926868,4535465,3580,511,17305,760
UChA6VTqciHcYoZxo6R2ESnA,674374,1940518,7942,350,8631,463
UCqm2qGjvhw-smS9ONDEn7Fg,618344,1662948,13447,91,3407,164
UCNlisYk2pbTPSejFqEX0YrQ,496241,1539405,16,106,3599,95
UCCXvgrT_uWTvmYwp47lX1mg,229834,455777,1075,207,3159,31
UCVOdT_BwuAbGsC0YjQwOoYg,229473,503518,2203,158,3373,126
UCLMNBVf8so0SbjSeGjxLiOA,141869,239911,3712,638,8874,36
UCbu8lQY-MwFNxXHq-q88cIA,88576,184989,146,60,1816,13
UCApPFD2lkTNTHhQJsqpp3xg,86487,185118,371,31,1166,25
UCIzqmACj6KMcuy0Q06OShcA,81573,165186,2777,91,1287,50
UCUlYVio1_3uEiTKvhWoq2uQ,66978,174622,1,22,455,22
UC3PeG6n4MjmhXHjig9np3dA,59223,115810,157,7,343,23
UCXWiKXUu5jGMtcZG3tZYHcA,52410,187910,265,25,560,20
UCuJLOUiC0IOzoPqvYpf_Pag,51813,108502,314,2,853,14
UCF7GJjNPB2R_1yGTpIB45jg,48070,117298,243,105,694,57
UCRg-hubwld8BEc8Afhn305w,27503,81901,117,17,485,7
UCNRYHxv-IKes0nthdfWYNhA,16661,25912,40,11,150,8
UCBoTSoL-oglOocfmXEQv8pA,16124,36401,55,11,243,10
UC51BZb8LNZW5Sp2ZBirudSg,13581,19406,172,29,284,11
UCu3XWT_2BMOI69unS2iIBkA,12753,23742,83,10,198,5
UCEqpHhAN-jdhA6F1Lecd5wg,9602,31040,69,5,148,0
UCo2fxh7Y0qRdmcZ2qIZ_RTw,8726,6685,198,8,68,9
UC55F9Nbp6PdURfWobSARxVw,8110,18624,30,6,76,4
UCn4ZQ84q-eBbGRUg60At0SQ,7926,17186,16,3,36,10
UCNSfONc2U1BfGV-gIF3ChcA,6265,9543,25,0,92,3
UCOQtOwoXZl76UrVN7pqNfHg,5946,14193,56,2,48,2
UCxq8iLGcQHZPBB2AcWcVh9A,3640,7076,2,5,45,0
UCh9l0j4KpQczQtNDrZlCJqA,3590,6421,14,1,25,3
UCygCLsD8jkys_WfVQdhS-KA,2388,3803,16,0,32,0
UC8EgZ1xm4ZFGbt-I0_qlWSQ,1760,1534,976,2,32,0
UC11VbLKq0ojQ2N-B2Q5m4mA,1396,2896,10,1,22,0
UCs1qD5IhqZGh8JUfJMc3Fwg,747,1367,1,0,4,0
UCr0-gGexvhqXnfNnD1HJCmA,645,763,1,0,-1,0
UC_8nqHZ6PFmjyCpz46Weaxg,448,916,5,1,6,1
UCA0_DhKu4732IFjKK4OFVbg,372,673,4,0,1,0
UC3zY--b8e61Os7LA_vMN25A,120,216,0,0,2,0
UCxiyzbjzA6IlV0ROt1GXsRg,32,27,10,0,1,0
UCN5YtRZSu6NFeNKMSQDdMlQ,0,0,11,0,0,0
UCZ7xwOk5EoC7doN58MQTYsw,0,0,24,0,0,0
UCiS6lByEku_8t8eynNFy-4g,0,0,0,0,0,0
UCoNhWLip9Q3NFCDCEtIOLKQ,0,0,8,0,0,0
UCEzDdNqNkT-7rSfSGSr1hWg,287692414,773720174,740154,65088,2079671,55606
UCm1s2VS9BdyXL9FU4a-W_cQ,208294921,984433590,381014,46573,1381477,58521
UClc5Eis2-L2JCcN62jmD21w,46514319,91892336,453462,7702,548107,37145
UC4UQFLK99sYuG1b8oRd5BvQ,39260714,151660721,86991,15088,476472,11722
UC8gbK8uoqKhlACSeenUPkFQ,32641462,96368118,110095,12885,250045,12792
UCaP-W0X3rp3U1lMedCHybtQ,18660168,52759458,39799,3406,125139,8070
UCdMRUaySf3cT27DDC6s2JKQ,16454975,32414330,128919,4842,178396,5947
UCzIbZKWAK8LzeG6JnsZbv5A,6313445,14098000,100697,19998,485982,2726
UC_oP9EI_H0Fz5mborGXBAiQ,2318899,5854869,8086,6640,54880,1790
UCoIhmmonW2dvhlfaHotzsew,969104,2396349,1382,123,7715,265
UCaYT1AshD7DXrYngBfYjFLA,637186,645213,973,268,4856,900
UC9qDclpoGtztMnaTMM_a4CA,613399,1485253,4013,561,8044,449
UCJLD33K474ja0jSpuOzMjGA,382454,872511,31165,178,6491,149
UCT3LN2SeSHEEWOGGeU_5vag,233508,628419,639,61,1910,111
UCp73ffsOnfY0RZtD3q1HeEw,188443,393416,647,549,5437,117
UCqurrJxBoBeBmcqRbIBwbJw,113975,265414,730,77,2712,38
UCpCaouuN4QSTqggIhTyB8KQ,95677,216511,3967,121,2337,73
UCxm11rMvAIGSBTST_Lsxp-Q,89605,276923,1534,79,2019,36
UCNqqeUSpNXMTWsE0VNGIm2g,87984,221152,627,32,1369,41
UCFffQdR3wcB_lO5K2r2jphA,81040,101672,8602,60,1063,73
UCYNECNTatn3pyhGOdCT-MvQ,50904,84435,168,24,423,29
UClPB8yKfVZVk79Lv5GsQHPg,48432,143570,204,13,330,13
UCEGJixZ73Cw3Kjy5fWODD3A,44286,95452,163,30,814,11
UCSaqZfWk95MtBuX1mV9hYQw,35764,121340,101,34,405,7
UC2qqSvlpGXXk6Y6-vkaR-rg,24176,48828,39,6,299,1
UCKjGFWtm8Z_ANK_ejXH0kuA,22926,48124,92,21,272,13
UCOg9jPWX9820Ipd1e__nZeg,22627,44348,140,7,183,15
UC8112rL9OPORK5ZstuHDrNg,17639,39284,23,0,75,2
UCWjbtqwzKQ0WOG_hKMncF3g,15214,30970,48,18,189,20
UCuTXXAzN-uOQpU9NA-E0kbw,13977,29875,88,5,104,6
UCyiF87k7RmDIa6BZQHlz97g,13658,29802,22,5,121,6
UCiyGKNCvFvWldieKA4dQ3zw,11937,21586,17,3,106,6
UCa-xU6FTqf76tL6Iu7kOe7Q,8490,15833,36,26,148,6
UCLpOiHPOitascuyfxt7A-9A,6108,7557,37,7,53,2
UCZ3vZfgvGSw_RtxQHmq_l9w,4948,7979,492,4,100,2
UC1HcEUox5K31Zs7jdDcCfIw,4336,10872,40,7,58,8
UCWoybbeuxa4Ig5pfWIu2Abw,4248,6753,9,0,10,2
UCi9UaJYgO-dc0aiiRWDAakA,3579,5669,41,26,118,2
UCt3XspKWeV4R_dGa-jWVdEg,3012,5391,13,0,34,5
UC1veizWI1JKS-OGkysw6v5A,2345,4682,8,0,22,0
UCsfv4IrL5Xm0bj9HCWiYKYQ,2125,2868,13,2,32,-1
UCTPGPRQWdzovgBgcOYIsyXw,863,1832,14,0,15,0
UCGJ5iXR7Y-RvWLCzlVRgv8g,729,1484,6,4,0,0
UC4a3_El94ZJCYZ-QlTuGB7w,582,912,3,2,14,2
UCxpphCszc7JOd8yII2NY-_Q,549,1106,40,0,8,0
UC2q3cOqytgIRDz7Rat8iM1w,40,42,1,0,1,0
UCuZ-3S-sYojFwsolvH3UisA,12,2,3,0,0,0
UCIXJYY5zQusztPhXqnzlBHw,1,0,0,0,0,0
UCBGCbkljFbQHm_8w8HFWAKA,0,0,15346,0,0,0
UC5-gWZXAQqSGVfPHkA7NRiQ,303733949,664746616,960346,93589,3885867,106151
UCgJMQU7JOIoP-YnrhH_P-bA,129281429,315496210,457984,123028,2916462,30000
UCihfR9bbPcwuMS5Y7Uxc5dw,124155413,287830642,216285,28508,1216451,38053
UChcrhsMDYCTf8tcMwn2K5-w,61613186,181372217,127420,10262,391420,16885
UC95Qg-xb1eN4dv7bVA6xmeA,17828722,49562202,34481,6028,155249,5448
UCrgWiquB-NYsL3O6D-Lm9_A,16239774,41539013,45693,3092,131725,5688
UCuBdv66Svl2XFqjxz3R8wHA,7039869,9344226,10038,1166,33145,2349
UCamMhSytMm91EJthLlq7AMA,5410613,10740896,17388,3116,112758,1637
UCarNrkLZREWeBw49EId_SDQ,4775558,10811152,88237,3373,159922,742
UCFwM7mqRJQltXEduilGLHYg,3647173,9152652,14204,1317,60722,688
UCUaRrYUIJWOEvJU539e_HwQ,3393185,9478759,4581,394,18616,657
UCtxLb_Phhs24njb6sgvKWDA,2716530,7432923,12168,245,8784,589
UCIfoB77y20QeFq0aFoOZK6A,2226429,6426782,17664,827,24174,779
UCrel63rCXl9evptflnKbPcQ,2019951,4868028,4166,220,8995,387
UCkw3Wx_MKegD3Jm0hL0X6XA,2019922,4963701,3699,351,21718,609
UClRWQyQlfTiafuRZZ0U8J-Q,1656327,4052334,2398,793,17336,443
UCaC6MYiWVx4oVNLE1FxvEmg,1581987,3155074,1100,119,1996,47
UCNDv67gnz57BqtbNO8fYouA,1504906,2721001,3362,612,10495,103
UCuWg5vxusYL48_bUDuG04tg,781322,1917443,1000,24,2749,179
UCZhj-UBDbvhXFEPUNXTb9-w,713244,1421412,2576,530,11567,292
UC2FyrZlHJt7Al48h_99SGJA,543035,1651923,737,41,2503,142
UCv9bnG14QgGhDOW_XJtDZ2w,537290,1541749,9491,273,6342,429
UCho87itAnvA8VH-B39AvHdw,470988,1244931,2227,452,5380,127
UC_u6lT3KKqi-G6dxbUcpSEQ,441236,1056849,1417,496,4856,173
UCinZCCF3IEnIqu1TrVI63UQ,362464,727983,26,140,2553,135
UCvE9U8758ox_muk2_lhHzKQ,320110,662388,904,67,1618,79
UCHpXxvLVYtGoFLgj-tmgE3A,230543,516317,550,68,1615,101
UC6rZM25HJGKrylQlKrFYh9w,205375,434784,996,142,2948,91
UCCfKVjtb-x0RuI37yOJnXLQ,187114,247236,2063,120,2833,80
UCxKITjGwUMNSUvlBa9Rdrzg,184762,529757,3336,65,1557,31
UCY8XzgmPflzpZEFczdGeIFA,154894,341571,635,146,2534,78
UC6lhmm819Eun89ZAE-W4l3A,108571,214657,183,31,674,58
UCyCJIAc8PmAspEy0dbco8eA,102807,174973,716,30,1406,92
UCW69xyNzQzvCNJ2_vyw8ZiQ,77628,169126,462,104,1829,31
UCwp9lm0va87m8PiH_LvAFGw,39715,117299,159,20,403,28
UCcu_7xdBj7XdNDBCCXhP8gw,37537,56514,419,44,793,23
UCNeW8fX9JEyHvZBYI4WDQ3Q,26397,49146,119,13,208,17
UClr_zK3P0GVbA_C-4093niw,12305,21030,136,24,169,3
UCjmgpU9OZwB1SZdzg5ngSDg,11566,25911,37,1,81,3
UCjEMe7t4p5YPXqqXRt6h7eA,4047,8995,23,7,57,1
UClxL3F6F_PAODV_Zkf8nYiQ,3527,7519,39,5,58,1
UC3UzB1FK530U8mlB87jajaA,3280,4860,17,3,34,0
UCqVbgXJ9HNWUjT_ChZRSe5w,2452,5283,9,0,-19,1
UC6OXwgKH_Uw9z_nYzIw1Sug,2097,3715,16,0,18,0
UCSKMuccyu8KTXCwRyicA_XA,1028,1463,5,1,16,0
UCEw-QL-G_SJhfaupB0WKMMw,973,1841,6,0,11,0
UCvl3m1KCm3JCk9uYSvRcRLQ,750,639,2,3,3,0
UCCKVsIqMUuWKsU8BGUnE51A,380,975,2,1,4,0
UCOUV9PcN3V2B47blEoT1zeQ,0,0,0,0,0,0
UCSugZEYrWbzqIWGD195V-YA,352648351,879786494,641037,106580,4294567,136601
UC8JETzqWNyTnAtwaq0_dl9A,133574452,633605820,139202,48850,984173,78923
UCGW91-ExDG5HolRaK59L6ng,84183727,194978706,267041,35687,1214231,47961
UCbGkxRgcnFTNNh3FDJOoJHA,40490329,151632480,53708,3683,162200,4812
UCoRUmyNL8KEYftmxRA2n3SQ,27581939,72381029,379757,12159,420424,7897
UCWY75uWazCXwtobPO232qAA,9081967,24577161,21156,852,64065,1942
UCyBggvUMg-gM1XCSKT1wbQQ,8030380,99064606,24278,7269,115739,3576
UCf2su0Eljvo9Uya9Ha1bhsA,7800758,15436236,45279,5568,178425,2094
UCoNhzD91NebOfKqc0KEZ_Qw,7406306,15410383,12837,1712,35164,4007
UCt27MCKTkEqDyKQxRiimL5Q,2930790,6443802,30849,1288,61303,657
UCC4vxWpMSKdJlUBC9Lw93Tg,2903017,9059733,6406,599,28915,852
UCzXuo8PGa4AK3Pqj4iIF93A,2468996,5698776,241,450,17585,558
UCtTFym1Wq_4OWcm9YJSPw1A,1752012,5971784,8926,1502,24729,417
UCpbKDbFjkfkqyDeEDmrLF3Q,1647832,4456483,33611,1279,14350,805
UCF2FLRdp7sG7VlHPZ_SN3wQ,1365368,3383203,2410,506,8112,329
UCPmOFVAeEskSYbVd8dVCq8g,1286151,2640431,8534,1027,32497,393
UCkd5zaLO84p9BIW5yZnbtIQ,1182839,3131546,4368,304,10509,283
UCXQwejZp8YMTXn5yH0rZp_A,1106871,2782842,6227,116,9354,236
UCHu-c0aQ5GZT_jytQZvCoUw,545423,1435163,950,61,2770,101
UC3R5UkoYFxLC37ek0YRkrDw,513280,1142255,2422,157,5507,202
UCuHOF18dKq6bl3Sr1Go6VLQ,446007,1049255,1046,71,3611,162
UCY4OcRVRxoyfu0Y1sZgiufQ,327112,526159,4917,1040,13609,773
UClo_l-QkSM8th3WaUiDjisg,254588,565797,1384,360,3606,67
UCNatCkiamAkinKWB25fUAmQ,233117,455994,2102,153,3840,196
UC5r25vHHPqBUhNa358-2caQ,223996,364576,2564,595,3237,107
UCFZeqNrsp-RjfrgOKkVZm1w,196905,708695,2163,244,4279,126
UCx7ARlfVHAGs2Qny_RvJbjw,173783,333737,179,17,1564,73
UCw22kktxsSIwZs1NkVWhyZA,144744,327428,2586,103,1628,27
UCGP155PgD2D9tG8s1SEABnw,134912,321608,427,83,1478,49
UCtqQTkNEmCL3Dn1CQ6LZjZw,119669,194194,484,119,1043,82
UCPgBq_PZP-_mvz6xuPyTRMw,102179,208547,138,92,1659,30
UC0ixS0vQvu2oskzHdmjoadw,67466,159063,428,100,1003,26
UC1qcacefLefHvmNNlZeRynA,51096,99525,0,1,37,10
UCdb-Qrty_qmM0jNX7lttW2w,51029,114053,413,18,590,20
UCK2a80QPFt-gXrkD0lkQXQA,39281,86694,231,12,418,14
UCq50wgcgnV72Nd4ioxLAVEg,15543,37295,93,7,203,5
UCvxu4PXbmxL7VrtpbSETURg,11187,25512,30,2,33,5
UCfQKBWPoLXnP0gnnyTTN2Wg,9247,16295,43,8,96,3
UCjW2tC5sPxJhHIOCG-nMyDA,8624,14200,11,2,31,6
UCueyXRvwZy-kOgQ4iQ6k9Aw,7146,15426,14,1,79,8
UCV2qJkJjRLYCtO1iXNxAlDQ,2679,7427,6,3,60,0
UCkQwWeAJQ0ET787-nNC70PA,2644,5890,0,1,27,3
UCGyTHChIrC1PDTjs2lr_v3w,1898,4226,7,0,8,0
UC1ZB-YzrmN2gw-wM5uybFrw,107,172,1,0,0,0
UCaH7BKgTTW5WIM8wFm2dlSA,48,104,7,0,-1,0
UC3vULc6NgmB8TT4qo6ENTgw,6,3,0,0,0,0
UC1sdELOO1CKDJBOJlFtXBVg,0,0,3,0,0,0
UCfSh6YPv5qf8p2QI-Q9k1QA,0,0,0,0,0,0
UC2gMECGMn5TVbRN5S5tKb8Q,311095124,1072693420,601533,54700,2334557,57381
UC6DEW8WJAz1T-qESPDfooRQ,185887454,741131749,300181,24019,1731743,47993
UCyIU6uSJVxLnlbV1l_PrvSA,47758930,125740022,130394,4322,531362,8599
UCkV5xKZTOtQ2N_aIMRLJR1Q,11957676,39611413,24952,3759,93257,4491
UCiVLSJ2MpNteP1oLYfu0VTw,5382556,11763861,23573,2619,109237,1712
UCoQJcz3rOY-CbzM-t4CRioQ,5008278,12723702,11783,876,40640,1090
UCr4ub8Buon9OO565g5IsaMA,3015302,9467565,5358,555,24928,745
UCF2z_ZFQdouHeQlVqPKPLWQ,2453007,4978734,18099,1290,61667,959
UCmlj__nBD3bd_ypnRNVu2gw,2441851,6389954,4525,231,17366,491
UCiNhPakx9VPiWHrRVk1jPQA,1923489,6427094,11708,838,20028,743
UCk4R6XW6Wcl3TQFLlvr28Yw,1805310,4250882,2445,149,7079,715
UCVV0m2FyZcOVIxWvycEhVVA,1384274,3475595,5004,315,16753,414
UCpo-kpPMRkTzoMK31LgRPmg,1150150,1642453,5428,696,15593,855
UCU5-gTdEOOrRShhRjUHyY9g,975977,2754599,905,164,3884,224
UCJnw4bTwCbEyw8Q_VDHIgqg,907341,1897068,923,0,1896,847
UCdWWMWdMyzheIyRsMxwbVEQ,883669,2578150,8267,496,17881,141
UCOa160TMShGFq0C0eNNHTmQ,702043,1520131,12098,432,7238,97
UCXPNfRD_NtY_7F9ZBUy_3Rw,511794,1278589,2429,289,6201,188
UCLM67XLcvP74yKksJOVb9wQ,411149,680602,28167,272,11289,201
UCamXysYHSo5ni82XjrlI7Mg,350691,869723,693,58,4174,95
UC6voWVsvNB6eEAffBRjikiA,220339,658577,241,72,2124,29
UCBUEnHKNLuoZgYExM0CbJdQ,165270,355823,359,78,1490,32
UCxEbyGgpkDAgmidshWMZXiA,116336,365731,618,95,2569,46
UC11pqmcvi8f6GdntAcvA7dg,107317,265821,719,69,1560,38
UCpwZ4mD9ZI-6-I6zb32n6eA,100693,212790,238,45,767,28
UCayA0Z534jVutFaUeQ8AbTg,87702,149266,154,45,905,24
UCBOyyqXdux-l7Q5bx8mvRxg,68136,189101,287,36,712,15
UCwld2avTZl_nxG2zOz0_Ihw,63014,169827,248,30,629,66
UCSuEx43CkHhw1NldDxLxB9Q,26124,59005,202,58,371,3
UCTaGAZrJk6Y5QtafxAXKK1g,24335,33583,77,11,305,15
UCOzAHnYUNftl7OXW5KAU2EQ,20682,46041,92,10,158,3
UC1tTNrhhmueBLmaSIH10Z4A,19271,40398,55,14,129,5
UCuzQ80bq1o0d20Dn70j4xsA,13439,27484,31,6,147,4
UClHlt_Fl6LeyummgDk7-BVw,11946,30598,426,7,70,6
UCBDbvGJCXEffPNh7RyMYTGQ,10035,17610,153,10,166,4
UCdvVM4jBnmAfvdFTrFHztiw,6927,14462,59,1,78,2
UCJ16f9U5vAqK0H_XxnA03QA,6627,6176,4,3,41,1
UCactROsC5RQMUQku8E2xGGA,3033,6527,8,0,17,0
UC7N12swobgpECWEjhi4zm0w,2173,3870,13,2,49,0
UCKb-QotIdnfF9Lgm6sG3CbQ,1699,3514,4,0,19,0
UCHQzyxUB4CzJ6j_5Qggqb9w,1476,2069,4,2,12,0
UCpqkfDglatZKrpVrgWiUtGw,702,1471,2,2,14,2
UCAWcTQlPfFaoZSVLiK8afOg,547,956,7,0,0,0
UCLteo8WLkQSuQhBOuD5HOZQ,408,709,4,1,10,1
UCO4idQrqeagVzzvl8v5h5Ag,295,455,2,0,4,0
UCX4hKNlViKmjLJhZcd6CkOA,34,67,2,0,-3,0
UCVWcLFr8a-ZsobHlVZPKCDA,14,5,6,0,0,0
UCODetjdmLtRqeT0c_hvqyVw,0,0,0,0,0,0
UCnULPlEo9YWkhGR9kWaQYww,0,0,0,0,0,0
